parameter,input
P1 (Kg/cm2),
T (oC),
Q (m3/hr),
Density,
Viscosity (Cp),
L (m),
D (in),
P2 (Kg/cm2),
pressure drop,
velocity (m/s),
Reynlods number,
friction factor,
assumed roughness,
