,General Gas,NeqSim Simulator,Weymouth,Panhandle_A,Panhandle_B
P1 (Kg/cm2),,,,,
P2(Kg/cm2),,,,,
T (oC),,,,,
L (m),,,,,
D (m),,,,,
flow_rate (Std_m3/hr),,,,,
flow_rate (Nm3/hr),,,,,
Actual_flow_rate (m3/hr),,,,,
Dp% to Upstream pressure,,,,,
friction factor/E,,,,,
Reynolds number,,,,,
Out velocity (m/s),,,,,
Sonic Velocity,,,,,
Out Mach number,,,,,
ꝬV^2,,,,,
mol.weight,,,,,
z,,,,,
k,,,,,
1/root(k),,,,,
viscosity (Cp),,,,,
